;error_output;time_output;head_output_083;head_output_158;head_output_180;flow_output_F1;flow_output_K1;flow_output_P1;tank_output_180;energy_output_F1;energy_output_K1;energy_output_P1;tank_input_180;pump_input_F1;pump_input_K1;pump_input_P1;demand_input_par2;demand_input_kar2
0;4;0;193,68136596679688;193,4002227783203;170,0;183,677978515625;0,0;58,577579498291016;170,0;30,778926849365234;0,0;4,524114608764648;4,0;0,79;0,58;0,66;0,6;0,19
1;4;3600;206,44923400878906;206,37307739257812;170,4619598388672;277,67864990234375;0,0;113,67161560058594;170,4619598388672;52,30458450317383;0,0;15,201778411865234;4,0;0,99;0,65;0,97;0,67;0,58
2;4;7200;217,6764678955078;217,5787811279297;171,0;0,0;0,0;84,97665405273438;171,0;0,0;0,0;14,002289772033691;4,0;0,63;0,65;0,99;0,78;0,41
3;4;10800;227,95693969726562;227,8617706298828;171,0;0,0;147,1361846923828;0,0;171,0;0,0;39,64949417114258;0,0;4,0;0,69;0,98;0,9;0,16;0,8
4;4;14400;210,06109619140625;209,8839874267578;170,62994384765625;209,68238830566406;0,0;67,82313537597656;170,62994384765625;36,674015045166016;0,0;9,466644287109375;4,0;0,84;0,75;0,88;0,33;0,28
5;0;18000;185,57815551757812;185,2926483154297;171,0;0,00019531570433173329;116,86898040771484;59,020015716552734;171,0;0,00010946232214337215;7,129868507385254;2,602773427963257;4,0;0,96;0,53;0,54;0,02;0,9
6;0;21600;201,66136169433594;200,69454956054688;170,70606994628906;260,6094970703125;61,80579376220703;85,80870056152344;170,70606994628906;48,34535598754883;8,478224754333496;8,861351013183594;4,0;0,95;0,71;0,83;0,99;0,58
7;4;25200;229,94143676757812;228,0474395751953;170,93484497070312;203,02037048339844;155,32118225097656;0,0;170,93484497070312;35,60456848144531;43,37033462524414;0,0;4,0;0,83;1,0;0,75;0,86;0,49
8;4;28800;210,68641662597656;208,33201599121094;170,82150268554688;0,0;206,6063232421875;3,6091763973236084;170,82150268554688;0,0;39,451839447021484;1,1715428829193115;4,0;0,54;0,89;0,85;0,23;0,77
9;4;32400;199,3268280029297;196,6448516845703;170,30186462402344;0,0;147,90834045410156;90,28315734863281;170,30186462402344;0,0;20,522321701049805;8,573123931884766;4,0;0,5;0,73;0,82;0,62;0,9
10;4;36000;223,6158905029297;221,16778564453125;169,92987060546875;0,0;210,357666015625;0,0;169,92987060546875;0,0;53,8410530090332;0,0;4,0;0,51;1,0;0,56;0,47;0,76
11;4;39600;193,03619384765625;190,80368041992188;169,40081787109375;232,90072631835938;0,0;118,16507720947266;169,40081787109375;40,42319869995117;0,0;9,351556777954102;4,0;0,88;0,58;0,87;0,76;0,21
12;4;43200;222,200927734375;220,2733917236328;169,986572265625;0,0;211,18365478515625;0,0;169,986572265625;0,0;52,603538513183594;0,0;4,0;0,59;0,99;0,6;0,26;0,83
13;4;46800;218,83343505859375;216,8346710205078;169,45542907714844;241,80816650390625;131,69064331054688;0,0;169,45542907714844;42,45357894897461;29,07391929626465;0,0;4,0;0,9;0,91;0,72;0,97;0,33
14;0;50400;192,8203582763672;190,85353088378906;169,7323760986328;217,65093994140625;82,65277099609375;63,43122482299805;169,7323760986328;37,492435455322266;7,576096057891846;4,572597980499268;4,0;0,85;0,62;0,66;0,95;0,42
15;4;54000;203,15138244628906;201,5487823486328;170,07191467285156;274,4022521972656;0,0;102,77861022949219;170,07191467285156;50,93564987182617;0,0;11,49893856048584;4,0;0,98;0,67;0,9;0,07;0,2
16;4;57600;212,8168487548828;211,2882537841797;170,76205444335938;0,0;90,46812438964844;0,0;170,76205444335938;0,0;14,96074390411377;0,0;4,0;0,7;0,83;0,77;0,05;0,14
17;4;61200;189,0376434326172;187,81033325195312;170,53451538085938;0,0;124,90021514892578;88,73828125;170,53451538085938;0,0;10,04680347442627;4,889570713043213;4,0;0,69;0,59;0,7;0,17;0,94
18;4;64800;189,52639770507812;188,0889434814453;170,2203826904297;0,0;43,988826751708984;62,49967575073242;170,2203826904297;0,0;4,6606268882751465;3,680198907852173;4,0;0,6;0,56;0,61;0,87;0,25
19;4;68400;202,69927978515625;200,95877075195312;170,10975646972656;0,0;153,495849609375;50,82814407348633;170,10975646972656;0,0;23,853771209716797;6,318384647369385;4,0;0,53;0,77;0,77;0,85;0,81
20;4;72000;185,00436401367188;183,61834716796875;169,72369384765625;0,0;141,31787109375;74,52963256835938;169,72369384765625;0,0;10,458013534545898;2,968078851699829;4,0;0,56;0,57;0,59;0,73;0,93
21;4;75600;225,72511291503906;223,62710571289062;169,36827087402344;0,0;135,3836669921875;0,0;169,36827087402344;0,0;34,936893463134766;0,0;4,0;0,52;0,97;0,61;0,32;0,34
22;0;79200;214,74990844726562;213,4430694580078;169,02777099609375;193,89501953125;49,25575637817383;60,363243103027344;169,02777099609375;31,937843322753906;11,48680305480957;9,758216857910156;4,0;0,8;0,86;0,92;0,14;0,29
23;4;82800;218,6894073486328;218,2661895751953;169,3915557861328;0,0;103,52964782714844;0,0;169,3915557861328;0,0;20,147214889526367;0,0;4,0;0,55;0,9;0,58;0,42;0,43
24;4;0;226,83795166015625;226,54202270507812;171,0;0,0;52,17767333984375;0,0;171,0;0,0;14,30362319946289;0,0;5,0;0,59;0,95;0,93;0,37;0,15
25;4;3600;218,64305114746094;218,47909545898438;170,8687744140625;0,0;65,67164611816406;0,0;170,8687744140625;0,0;13,530065536499023;0,0;5,0;0,54;0,88;0,77;0,31;0,28
26;0;7200;201,0271453857422;201,00149536132812;170,70359802246094;281,20947265625;7,878698825836182;125,0978012084961;170,70359802246094;53,5789794921875;2,1724562644958496;15,02226448059082;5,0;1,0;0,7;0,97;0,82;0,71
27;4;10800;217,19671630859375;217,06895446777344;170,9879150390625;0,0;94,33614349365234;0,0;170,9879150390625;0,0;17,096385955810547;0,0;5,0;0,63;0,87;0,69;0,99;0,47
28;4;14400;223,97998046875;223,8058624267578;170,7506561279297;186,44625854492188;123,82316589355469;0,0;170,7506561279297;31,970273971557617;28,00408172607422;0,0;5,0;0,8;0,94;0,66;0,73;0,63
29;4;18000;204,4069366455078;204,03956604003906;170,9081573486328;0,0;76,68910217285156;0,0;170,9081573486328;0,0;10,375930786132812;0,0;5,0;0,61;0,74;0,53;0,8;0,28
30;4;21600;205,31480407714844;204,3338165283203;170,71527099609375;157,6189422607422;0,0;99,61461639404297;170,71527099609375;26,325035095214844;0,0;11,803647994995117;5,0;0,76;0,69;0,91;0,73;0,28
31;4;25200;189,73411560058594;187,8892822265625;171,0;0,0;-6,188830852508545;135,9098358154297;171,0;0,0;1,0535069704055786;10,125606536865234;5,0;0,63;0,55;0,93;0,63;0,33
32;4;28800;189,86634826660156;187,51292419433594;171,0;0,0;72,31822204589844;91,49727630615234;171,0;0,0;5,685537338256836;5,31477689743042;5,0;0,51;0,56;0,72;0,63;0,48
33;4;32400;217,12428283691406;214,3343963623047;170,818115234375;224,13430786132812;124,59163665771484;0,0;170,818115234375;40,030906677246094;24,644996643066406;0,0;5,0;0,87;0,88;0,68;0,95;0,19
