;error_output;head_output_083;head_output_158;head_output_180;flow_output_F1;flow_output_K1;flow_output_P1;tank_output_180;energy_output_F1;energy_output_K1;energy_output_P1;tank_input_180;pump_input_F1;pump_input_K1;pump_input_P1;demand_input_par2;demand_input_kar2
0;0;200,79739379882812;200,5380096435547;169,5800018310547;213,1713409423828;18,928321838378906;74,84917449951172;169,5800018310547;36,38409423828125;5,369067668914795;7,546451091766357;0,6;0,84;0,71;0,79;0,31;0,41
1;0;193,0162353515625;192,88816833496094;170,89999389648438;67,97891998291016;42,74856185913086;140,62893676757812;170,89999389648438;9,725090980529785;5,297162055969238;13,307738304138184;4,9;0,71;0,6;0,98;0,96;0,97
2;4;202,9021453857422;202,61050415039062;169,5;246,07606506347656;0,0;39,37761306762695;169,5;43,48783493041992;0,0;5,623076438903809;3,5;0,91;0,6;0,76;0,62;0,07
3;4;224,5550079345703;224,2995147705078;168,89999389648438;0,0;148,17767333984375;0,0;168,89999389648438;0,0;39,025840759277344;0,0;2,9;0,58;0,97;0,63;0,33;0,75
4;4;213,20701599121094;212,9590301513672;168,10000610351562;249,3115692138672;0,0;90,57765197753906;168,10000610351562;42,58894729614258;0,0;13,423785209655762;2,1;0,91;0,53;0,96;0,2;0,39
5;4;221,31231689453125;221,08050537109375;170,5;0,0;178,57765197753906;0,0;170,5;0,0;43,1289176940918;0,0;4,5;0,59;0,95;0,85;0,58;0,94
6;4;195,0046844482422;194,70721435546875;170,5;17,700700759887695;44,17756652832031;0,0;170,5;5,274374485015869;5,915236473083496;0,0;0,8;0,7;0,63;0,57;0,04;0,1
7;4;188,61293029785156;188,39596557617188;170,8000030517578;0,0;113,628662109375;52,14883804321289;170,8000030517578;0,0;8,34243392944336;3,157421588897705;4,8;0,5;0,57;0,57;0,87;0,86
8;4;207,41372680664062;207,17257690429688;170,8000030517578;147,7279815673828;167,3776092529297;0,0;170,8000030517578;24,5248966217041;29,210186004638672;0,0;1,0;0,75;0,82;0,62;0,5;0,87
9;0;202,19517517089844;201,9350128173828;169,1999969482422;160,2661590576172;23,145315170288086;72,23218536376953;169,1999969482422;25,681581497192383;6,698354721069336;7,732030391693115;3,2;0,75;0,73;0,8;0,74;0,42
10;4;209,77676391601562;209,53529357910156;168,1999969482422;0,0;0,0;95,37763977050781;168,1999969482422;0,0;0,0;12,921086311340332;2,2;0,6;0,73;0,94;0,5;0,42
11;4;192,13412475585938;191,83485412597656;169,10000610351562;259,82080078125;29,777557373046875;0,0;169,10000610351562;46,18576431274414;5,005590438842773;0,0;3,1;0,94;0,61;0,57;0,47;0,01
12;4;202,70423889160156;202,4054412841797;168,8000030517578;0,0;34,57759094238281;0,0;168,8000030517578;0,0;7,628664493560791;0,0;2,8;0,53;0,74;0,52;0,38;0,04
13;4;209,68177795410156;209,39947509765625;168,39999389648438;239,9350128173828;0,0;56,977638244628906;168,39999389648438;40,86174774169922;0,0;8,287049293518066;2,4;0,89;0,51;0,86;0,67;0,18
14;4;193,2092742919922;192,92381286621094;167,5;209,95709228515625;0,0;52,17758560180664;167,5;33,66245651245117;0,0;4,189236164093018;1,5;0,82;0,51;0,64;0,82;0,15
15;4;223,94850158691406;223,66561889648438;168,6999969482422;177,39202880859375;96,9776611328125;0,0;168,6999969482422;28,465669631958008;20,962444305419922;0,0;2,7;0,77;0,95;0,96;0,06;0,43
16;4;197,73690795898438;197,4954376220703;167,8000030517578;168,97061157226562;0,0;95,37760162353516;167,8000030517578;26,182008743286133;0,0;8,468934059143066;1,8;0,75;0,54;0,82;0,45;0,42
17;4;210,8607635498047;210,63316345214844;170,3000030517578;215,87454223632812;183,37762451171875;0,0;170,3000030517578;37,68263244628906;35,49040985107422;0,0;4,3;0,85;0,87;0,82;0,11;0,97
18;4;218,47256469726562;218,1736297607422;169,39999389648438;271,6365966796875;32,97764587402344;0,0;169,39999389648438;49,37805938720703;10,921550750732422;0,0;3,4;0,97;0,89;0,77;0,94;0,03
19;0;186,08047485351562;185,8979949951172;169,39999389648438;232,88558959960938;75,47544860839844;98,30205535888672;169,39999389648438;40,426090240478516;5,168187141418457;4,326635837554932;0,7;0,88;0,53;0,71;0,27;0,91
20;4;214,34274291992188;214,059326171875;167,8000030517578;0,0;0,0;55,377655029296875;167,8000030517578;0,0;0,0;9,282671928405762;1,8;0,61;0,84;0,91;0,99;0,17
21;4;196,3020477294922;196,0762176513672;169,89999389648438;0,0;121,3797607421875;39,59773254394531;169,89999389648438;0,0;13,507892608642578;4,318215370178223;3,9;0,52;0,68;0,67;0,65;0,83
22;4;228,48562622070312;228,18844604492188;167,8000030517578;0,0;45,777679443359375;0,0;167,8000030517578;0,0;14,830985069274902;0,0;1,8;0,63;0,99;0,53;0,48;0,11
23;0;199,59861755371094;199,4179229736328;169,5;246,0758819580078;56,99569320678711;108,78180694580078;169,5;43,48779296875;7,972980499267578;11,078310012817383;3,5;0,91;0,7;0,89;0,35;0,86
